Project,CommitId,Date
androidannotations,1e91a3b,Sun Feb 26 16:56:35 2017
android-async-http,f53deef,Sun Mar 20 15:55:25 2016
Android-CleanArchitecture,ae30300,Mon Jan 9 00:30:18 2017
Android-Universal-Image-Loader,4c72879,Tue Jan 26 13:29:19 2016
AndroidUtilCode,a2e6a93,Mon Feb 27 13:33:55 2017
butterknife,581666a,Tue Jan 24 18:57:50 2017
EventBus,7504c43,Wed Oct 19 13:33:50 2016
fresco,9bf8cf5,Fri Feb 24 22:04:35 2017
glide,3bcea91,Wed Feb 15 18:32:15 2017
HomeMirror,a71c860,Fri May 20 21:54:56 2016
iosched,9f38e2d,Tue Nov 15 22:13:20 2016
libgdx,6302af8,Mon Feb 27 02:18:33 2017
lottie-android,09f459c,Sat Feb 25 04:17:52 2017
Material-Animations,28e65b2,Sun May 15 20:30:33 2016
MaterialDesignLibrary,7271050,Mon Nov 14 23:06:39 2016
material-dialogs,2205c69,Tue Feb 21 17:50:45 2017
MPAndroidChart,0c919ab,Wed Feb 22 17:29:33 2017
PhotoView,6c227ee,Sun Dec 18 02:13:52 2016
picasso,0b38d19,Fri Feb 24 17:18:20 2017
plaid,abf8669,Thu Feb 23 15:34:32 2017
PocketHub,a4f3a6f,Mon Feb 27 10:54:37 2017
RxAndroid,eb27d75,Mon Jan 9 20:59:49 2017
SlidingMenu,4254fec,Sun Mar 9 23:30:35 2014
tinker,9d2b250,Tue Jan 17 05:47:08 2017
ViewPagerIndicator,8cd549f,Wed Sep 12 19:08:57 2012
weex,4733936,Mon Feb 27 07:32:23 2017
